5~10	武井咲	江口洋介	None	21
10~15	渡瀬恒彦	井ノ原快彦	V6	21
10~15	井上真央	木南晴夏	None	22
5~10	藤ヶ谷太輔	北山宏光	None	21
10~15	上川隆也	斉藤由貴	山下達郎	21
10~15	名取裕子	寺島進	矢井田瞳	20
under5	山田優	金子ノブアキ	None	23
5~10	榮倉奈々	木村文乃	None	22
5~10	丸山隆平	平愛梨	関ジャニ	23
under5	島崎遥香	木﨑ゆりあ	マジすか3選抜	24
5~10	渡辺謙	デヴィッド・モース	None	21
5~10	菜々緒	中丸雄一	None	23
10~15	仲間由紀恵	沢村一樹	Aqua Timez	21
under5	知念侑李	森川葵	None	24
under5	小嶋陽菜	ムロツヨシ	None	25
5~10	向井理	尾野真千子	Superfly	21
10~15	豊川悦司	芦田愛菜	芦田愛菜	21
5~10	瀧本美織	財前直見	柴咲コウ	20
under5	日村勇紀	剛力彩芽	None	24
15~20	木村拓哉	香里奈	ザ・ローリングストーンズ	21
5~10	沢口靖子	酒井若菜	德永英明	22
under5	ミムラ	筧利夫	SPYAIR	22
under5	倉科カナ	加藤シゲアキ	NEWS	24
5~10	生田斗真	真木よう子	Mr.Children	21
5~10	阿部寛	山口智子	槇原敬之	22
15~20	水谷豊	成宮寛貴	None	21
5~10	武井咲	渡部篤郎	中島みゆき	22
under5	白濱亜嵐	鈴木伸之	GENERATIONS from EXILE TRIBE	25
5~10	仲里依紗	林遣都	flumpool	21
15~20	米倉涼子	田中圭	Superfly	21
10~15	真矢みき	石黒賢	地球三兄弟	20
10~15	菅野美穂	天海祐希	コブクロ	22
under5	綾部祐二	臼田あさ美	YU-A	23
5~10	堺雅人	多部未華子	MISIA	22
10~15	高橋克典	片瀬那奈	優梨花	23
5~10	三上博史	高橋光臣	None	21
5~10	長澤まさみ	南沢奈央	back:number	23
10~15	北川景子	GACKT	ももいろクローバーＺ	21
under5	中山優馬	本田翼	None	24
10~15	香取慎吾	山下智久	The MONSTERS	21
10~15	深田恭子	瀬戸朝香	None	21
10~15	佐々木蔵之介	比嘉愛未	None	20
under5	濱田岳	谷中敦	None	24
10~15	剛力彩芽	AKIRA	E-girls	21
5~10	上戸彩	飯島直子	松任谷由実	22
5~10	戸田恵梨香	高良健吾	U-KISS	22
under5	マリウス葉	浜野謙太	None	24
10~15	相葉雅紀	多部未華子	嵐	21
5~10	仲間由紀恵	高嶋政伸	東方神起	22
5~10	水川あさみ	大泉洋	None	22
5~10	堺雅人	平岳大	None	20
5~10	伊藤淳史	桐谷美玲	None	21
10~15	沢口靖子	内藤剛志	None	20
10~15	黒木瞳	相武紗季	竹内まりや	21
10~15	瑛太	尾野真千子	None	22
under5	宮川大輔	小泉孝太郎	MY NAME	23
10~15	鈴木京香	石田ゆり子	AI	22
10~15	玉森裕太	及川光博	Kis-My-Ft2	23
5~10	唐沢寿明	高橋克実	None	21
5~10	市原隼人	斎藤工	None	23
10~15	長瀬智也	麻生久美子	TOKIO	21
under5	稲垣吾郎	酒井美紀	山下智久	24
10~15	綾瀬はるか	西島秀俊	None	18
15~20	内野聖陽	佐藤健	福山雅治	21
5~10	江口洋介	倉科カナ	None	21
5~10	高橋克実	榮倉奈々	家入レオ	20
under5	高梨臨	余貴美子	加藤ミリヤ	24
under5	KEIJI	町田啓太	Dream	26
15~20	福山雅治	吉高由里子	KOH+	21
5~10	羽田美智子	板谷由夏	山下達郎	22
10~15	香取慎吾	杏	SMAP	22
5~10	松下奈緒	椎名桔平	椎名林檎	21
10~15	上川隆也	西村雅彦	小田和正	21
10~15	櫻井翔	神木隆之介	嵐	22
5~10	長谷川博己	稲森いずみ	B'z	22
under5	伊藤淳史	水川あさみ	None	20
5~10	松田翔太	松岡昌宏	SPYAIR	21
under5	小野恵令奈	川島海荷	小野恵令奈	24
